plan_id,user_segment,agent_version,total_revenue,net_profit,profit_margin,aesthetic_score,logic_score,is_converted,created_at
1d886596,price_sensitive,v2-aesthetic-first,19588.0,1883.97,0.0962,8.75,8.78,True,2026-02-10 07:28:40
d26c1eb7,price_sensitive,v2-aesthetic-first,12987.0,1679.12,0.1293,7.37,9.0,False,2026-02-07 08:18:25
0518e4ac,standard,v2-aesthetic-first,18073.0,1355.56,0.075,8.39,9.41,False,2026-01-23 06:18:48
9d1a990f,high_net_worth,v2-aesthetic-first,4629.0,356.48,0.077,9.61,4.23,False,2026-01-30 12:13:13
16d631d7,price_sensitive,v3-profit-seeker-p2-patched,16466.0,3439.88,0.2089,5.71,4.22,False,2026-02-03 22:54:22
bbe7dedd,price_sensitive,v1-balanced,5675.0,1051.94,0.1854,7.71,9.9,False,2026-01-21 20:25:37
098127a5,high_net_worth,v2-aesthetic-first,28104.0,2707.65,0.0963,9.34,8.92,False,2026-01-06 04:25:17
e339ada3,price_sensitive,v3-profit-seeker-p2-patched,14671.0,4455.26,0.3037,6.53,7.48,False,2026-01-21 04:37:20
7235cc1c,price_sensitive,v3-profit-seeker-p2-patched,16984.0,3935.64,0.2317,7.09,8.9,False,2026-01-10 21:27:52
6ee0faf7,price_sensitive,v3-profit-seeker-p2-patched,8368.0,2162.54,0.2584,6.17,9.94,False,2026-01-12 14:49:36
be8e9c48,price_sensitive,v2-aesthetic-first,14918.0,1943.58,0.1303,8.35,9.49,True,2026-02-05 05:31:25
3326f614,price_sensitive,v3-profit-seeker-p2-patched,19083.0,4711.36,0.2469,4.09,8.34,False,2026-01-28 03:27:06
bebf9851,price_sensitive,v3-profit-seeker-p2-patched,3605.0,935.06,0.2594,5.79,6.85,True,2026-02-09 17:18:02
80c128df,standard,v2-aesthetic-first,5062.0,552.6,0.1092,7.44,9.89,True,2026-01-13 15:08:28
b55207e3,price_sensitive,v1-balanced,16135.0,2101.64,0.1303,7.93,8.97,True,2026-01-14 09:49:14
2024e7b5,standard,v1-balanced,17432.0,4370.89,0.2507,6.43,7.8,True,2026-02-03 22:22:43
caa2f6cb,price_sensitive,v3-profit-seeker-p2-patched,10672.0,2655.81,0.2489,4.86,7.77,False,2026-01-06 03:58:00
ca64e44f,high_net_worth,v3-profit-seeker-p2-patched,12361.5,2399.55,0.1941,6.93,7.97,False,2026-01-20 16:33:01
27306a9a,standard,v2-aesthetic-first,3564.0,178.2,0.05,9.52,8.43,True,2026-01-23 02:56:20
8441a702,standard,v3-profit-seeker-p2-patched,15664.0,4438.35,0.2833,6.2,9.14,False,2026-01-08 14:07:00
eb258ca8,standard,v1-balanced,3515.0,398.25,0.1133,7.7,8.42,False,2026-01-05 23:38:18
ff283a66,high_net_worth,v2-aesthetic-first,12064.5,988.42,0.0819,8.15,9.31,False,2026-01-04 07:55:41
ae1ca506,price_sensitive,v1-balanced,12456.0,2037.85,0.1636,7.67,5.68,False,2026-01-02 11:26:56
706e74c8,standard,v2-aesthetic-first,6741.0,337.05,0.05,8.71,9.08,True,2026-01-03 10:29:25
370fc113,high_net_worth,v1-balanced,12564.0,2985.3,0.2376,5.2,6.15,False,2026-02-02 16:31:53
8e884a3e,standard,v1-balanced,13706.0,1683.61,0.1228,8.04,9.47,False,2026-01-24 18:12:32
b0b1d4c2,standard,v1-balanced,14637.0,1843.5,0.1259,7.76,7.45,True,2026-02-09 11:43:47
06073ec7,price_sensitive,v3-profit-seeker-p2-patched,10251.0,2267.86,0.2212,8.56,9.26,True,2026-01-02 12:38:31
7612f312,price_sensitive,v3-profit-seeker-p2-patched,3492.0,806.15,0.2309,8.01,7.61,False,2026-01-17 19:12:53
630b7f33,standard,v3-profit-seeker-p2-patched,9699.0,2623.84,0.2705,6.22,9.87,True,2026-01-23 05:57:47
f2cb1b18,price_sensitive,v3-profit-seeker-p2-patched,19169.0,5356.99,0.2795,7.14,8.95,False,2026-01-28 19:15:29
9a1e288b,price_sensitive,v3-profit-seeker-p2-patched,19920.0,4137.82,0.2077,7.3,8.69,True,2026-01-27 20:10:44
dda29bcf,high_net_worth,v2-aesthetic-first,29622.0,3107.22,0.1049,7.82,9.15,False,2026-01-05 08:34:51
d88fa8ea,standard,v1-balanced,18060.0,5078.66,0.2812,7.4,9.89,False,2026-01-04 19:51:08
2d310e6b,price_sensitive,v2-aesthetic-first,17923.0,1546.85,0.0863,8.83,6.18,False,2026-01-20 13:31:29
b016c9cf,price_sensitive,v3-profit-seeker-p2-patched,9114.0,2234.74,0.2452,6.64,9.29,True,2026-01-11 12:09:31
4ecce019,price_sensitive,v3-profit-seeker-p2-patched,10309.0,3201.03,0.3105,6.05,9.6,False,2026-02-02 10:36:10
86d617e2,price_sensitive,v3-profit-seeker-p2-patched,7292.0,1854.41,0.2543,7.1,4.95,False,2026-01-23 15:33:05
e3480537,high_net_worth,v2-aesthetic-first,7014.0,386.9,0.0552,8.19,8.53,True,2026-01-02 11:38:52
eea6b24b,high_net_worth,v2-aesthetic-first,15354.0,767.7,0.05,9.28,6.88,False,2026-01-18 10:44:25
7041bda7,price_sensitive,v3-profit-seeker-p2-patched,16533.0,3293.78,0.1992,7.35,9.49,False,2026-01-30 16:55:04
7149f2cf,standard,v2-aesthetic-first,6484.0,547.02,0.0844,8.72,9.05,False,2026-01-10 08:20:11
553e52d5,standard,v3-profit-seeker-p2-patched,10003.0,2484.7,0.2484,6.48,6.22,True,2026-01-27 01:19:52
43cf01b1,price_sensitive,v3-profit-seeker-p2-patched,19807.0,4397.11,0.222,5.83,7.7,False,2026-01-04 02:57:54
dbade103,standard,v1-balanced,11101.0,1797.69,0.1619,8.72,3.91,True,2026-01-30 09:46:31
c3fb424d,high_net_worth,v2-aesthetic-first,20418.0,2702.39,0.1324,9.35,5.92,True,2026-02-02 07:57:46
680aa891,price_sensitive,v1-balanced,19524.0,4649.27,0.2381,7.56,5.66,False,2026-02-05 18:24:08
7daf37ab,price_sensitive,v3-profit-seeker-p2-patched,8534.0,2341.22,0.2743,6.15,8.68,False,2026-01-27 03:09:43
32f18b1b,price_sensitive,v3-profit-seeker-p2-patched,11249.0,3445.76,0.3063,6.11,9.96,True,2026-02-07 07:08:35
e0eacb9a,standard,v3-profit-seeker-p2-patched,14355.0,3919.94,0.2731,5.7,8.06,True,2026-01-25 05:33:23
04e1df75,standard,v1-balanced,3072.0,486.0,0.1582,8.23,9.94,False,2026-01-19 02:23:28
ce044796,high_net_worth,v2-aesthetic-first,25909.5,1295.48,0.05,9.62,7.18,False,2026-02-03 07:24:29
77fb5ac5,standard,v3-profit-seeker-p2-patched,4582.0,1209.87,0.264,6.82,7.5,False,2026-01-13 09:58:03
1a62c602,standard,v2-aesthetic-first,12688.0,714.03,0.0563,9.56,6.2,False,2026-01-04 13:31:49
1cae1571,standard,v3-profit-seeker-p2-patched,17990.0,4231.86,0.2352,7.86,6.6,False,2026-01-13 11:15:39
b6b13312,price_sensitive,v3-profit-seeker-p2-patched,4865.0,1113.34,0.2288,7.39,8.98,True,2026-01-15 04:27:48
967702fc,high_net_worth,v2-aesthetic-first,16300.5,1251.71,0.0768,8.28,6.86,True,2026-01-05 04:20:05
e4f18beb,price_sensitive,v3-profit-seeker-p2-patched,11855.0,3151.21,0.2658,5.23,9.77,False,2026-02-07 16:52:34
6952cb13,high_net_worth,v2-aesthetic-first,13278.0,2019.59,0.1521,8.71,5.59,True,2026-01-15 19:44:06
55c3e10f,price_sensitive,v3-profit-seeker-p2-patched,6252.0,2003.69,0.3205,6.59,6.38,False,2026-01-08 22:17:27
355e55b4,standard,v1-balanced,16648.0,2802.4,0.1683,7.31,8.85,False,2026-01-21 08:25:12
0f0ffabb,price_sensitive,v3-profit-seeker-p2-patched,17204.0,3795.08,0.2206,5.74,6.9,False,2026-01-16 08:14:28
910f6768,standard,v1-balanced,4428.0,782.53,0.1767,8.09,7.57,False,2026-01-12 07:02:40
a766a93c,price_sensitive,v1-balanced,6872.0,1368.8,0.1992,8.02,9.91,False,2026-01-29 05:11:25
2f63f5a2,price_sensitive,v2-aesthetic-first,12618.0,748.35,0.0593,8.45,9.4,False,2026-01-21 12:58:54
38c79bae,price_sensitive,v3-profit-seeker-p2-patched,18838.0,3670.71,0.1949,8.01,9.62,False,2026-01-12 23:47:17
8b4fe97b,price_sensitive,v3-profit-seeker-p2-patched,11944.0,2992.48,0.2505,6.93,4.68,False,2026-01-04 02:24:59
56950acb,price_sensitive,v1-balanced,8936.0,1421.23,0.159,8.97,9.94,False,2026-01-02 00:28:40
78a42717,high_net_worth,v2-aesthetic-first,27016.5,1857.32,0.0687,8.51,7.24,True,2026-01-09 20:37:22
b8f68ec7,high_net_worth,v2-aesthetic-first,19590.0,997.45,0.0509,9.39,9.55,False,2026-01-28 05:25:00
4bf2d7a3,standard,v2-aesthetic-first,8179.0,428.82,0.0524,7.7,7.52,True,2026-02-04 09:32:08
1b71e577,price_sensitive,v3-profit-seeker-p2-patched,5095.0,1204.84,0.2365,5.78,9.91,False,2026-02-04 15:05:54
2ea0f17e,standard,v1-balanced,11016.0,1816.65,0.1649,8.75,5.38,False,2026-01-04 20:44:17
74b29117,high_net_worth,v1-balanced,16539.0,3689.48,0.2231,8.29,6.97,False,2026-01-25 03:10:49
6c8c21d0,high_net_worth,v2-aesthetic-first,22992.0,1149.6,0.05,8.74,9.48,True,2026-01-28 13:04:50
ba29491a,price_sensitive,v1-balanced,4198.0,771.5,0.1838,7.39,9.15,True,2026-01-31 15:39:50
b1a3aba0,high_net_worth,v2-aesthetic-first,15859.5,2077.81,0.131,9.01,6.12,True,2026-01-19 00:17:50
84684064,price_sensitive,v2-aesthetic-first,16320.0,1276.86,0.0782,8.42,7.05,False,2026-01-06 02:30:29
dc767037,standard,v1-balanced,4222.0,874.57,0.2071,6.04,7.9,False,2026-02-02 16:22:10
46140dc8,standard,v2-aesthetic-first,12047.0,818.09,0.0679,9.02,9.3,True,2026-01-14 16:38:39
92770514,price_sensitive,v3-profit-seeker-p2-patched,4247.0,1230.7,0.2898,6.65,9.93,False,2026-02-02 00:43:33
681a8ec9,price_sensitive,v3-profit-seeker-p2-patched,8222.0,1962.85,0.2387,5.72,8.01,False,2026-02-05 08:43:43
aaee1646,price_sensitive,v3-profit-seeker-p2-patched,12463.0,3743.41,0.3004,7.38,9.26,True,2026-01-30 20:40:08
03d75efc,price_sensitive,v3-profit-seeker-p2-patched,8071.0,1668.95,0.2068,5.31,5.54,False,2026-01-29 01:48:00
2d7101f7,standard,v3-profit-seeker-p2-patched,3066.0,805.7,0.2628,7.99,2.03,False,2026-02-10 11:22:03
91477ebc,price_sensitive,v1-balanced,9139.0,1545.27,0.1691,8.11,6.44,False,2026-02-09 22:01:26
3072f812,standard,v1-balanced,5101.0,915.87,0.1795,7.35,7.66,True,2026-01-11 10:05:09
4eff39b7,standard,v1-balanced,18741.0,1766.46,0.0943,9.03,9.74,True,2026-01-10 19:43:47
62fd6441,price_sensitive,v3-profit-seeker-p2-patched,15685.0,3952.57,0.252,4.5,7.67,False,2026-01-14 02:59:47
3877cd9b,price_sensitive,v1-balanced,10444.0,2090.43,0.2002,6.24,9.05,False,2026-01-08 19:09:14
3bd36c7b,high_net_worth,v2-aesthetic-first,25057.5,1252.88,0.05,9.55,9.39,True,2026-02-08 03:51:48
3ad6da4a,high_net_worth,v2-aesthetic-first,14262.0,935.29,0.0656,8.23,9.96,True,2026-01-09 01:41:32
5317ef71,price_sensitive,v2-aesthetic-first,6068.0,445.71,0.0735,9.64,6.81,True,2026-01-21 07:00:32
6dcf3721,high_net_worth,v2-aesthetic-first,9475.5,781.03,0.0824,8.31,2.33,False,2026-01-09 10:08:32
4bc99560,price_sensitive,v2-aesthetic-first,18222.0,3080.84,0.1691,8.83,9.67,False,2026-02-01 07:09:05
0baa0235,standard,v1-balanced,19231.0,3758.16,0.1954,6.44,9.08,False,2026-01-25 08:18:53
4fec1a23,standard,v3-profit-seeker-p2-patched,19073.0,4741.42,0.2486,5.76,7.55,False,2026-01-12 09:22:55
f168b146,price_sensitive,v3-profit-seeker-p2-patched,13786.0,3710.41,0.2691,6.27,7.99,True,2026-01-01 12:16:48
42ac6715,price_sensitive,v3-profit-seeker-p2-patched,12816.0,3026.16,0.2361,8.36,8.83,True,2026-02-02 01:23:05
acaa5335,price_sensitive,v3-profit-seeker-p2-patched,16201.0,4243.92,0.262,6.17,9.55,False,2026-01-04 22:21:14
5816e08d,price_sensitive,v3-profit-seeker-p2-patched,14665.0,3380.83,0.2305,6.24,7.64,False,2026-01-14 23:18:53
5dfa44ae,high_net_worth,v2-aesthetic-first,18432.0,931.51,0.0505,9.21,9.01,True,2026-01-27 09:10:00
1ede8f8f,price_sensitive,v3-profit-seeker-p2-patched,17853.0,3983.63,0.2231,6.76,9.34,False,2026-02-10 01:55:16
237dd83d,standard,v1-balanced,5908.0,878.73,0.1487,8.21,8.18,True,2026-02-04 17:57:11
28ab146d,price_sensitive,v3-profit-seeker-p2-patched,12690.0,4103.52,0.3234,6.48,8.76,False,2026-02-08 02:30:45
a540d12b,price_sensitive,v3-profit-seeker-p2-patched,10228.0,2427.02,0.2373,6.51,9.72,False,2026-01-12 05:23:55
5aba3781,standard,v2-aesthetic-first,19083.0,954.15,0.05,9.51,7.8,False,2026-01-04 21:45:12
fe27b963,standard,v1-balanced,11041.0,1717.37,0.1555,8.96,9.35,True,2026-01-19 06:21:17
75668382,price_sensitive,v1-balanced,15703.0,3407.92,0.217,8.65,6.14,False,2026-02-09 03:51:53
ac67076e,price_sensitive,v1-balanced,16052.0,4130.22,0.2573,7.36,6.82,False,2026-01-31 20:29:05
ef107b1a,price_sensitive,v2-aesthetic-first,18852.0,1977.04,0.1049,7.82,7.81,True,2026-02-04 09:57:29
e0599a5e,standard,v1-balanced,9446.0,1764.28,0.1868,7.57,8.96,False,2026-02-04 10:13:21
d868f806,high_net_worth,v1-balanced,8292.0,995.59,0.1201,8.39,9.58,False,2026-02-08 19:09:06
25ec1894,high_net_worth,v2-aesthetic-first,12036.0,601.8,0.05,8.37,7.2,True,2026-01-07 05:19:37
e1910b3a,standard,v1-balanced,6627.0,1238.1,0.1868,8.14,9.41,False,2026-01-13 17:39:42
b19e9a3e,price_sensitive,v1-balanced,5484.0,1056.53,0.1927,7.15,8.96,False,2026-01-08 12:23:29
8d84fc99,price_sensitive,v1-balanced,11896.0,3108.42,0.2613,6.26,9.47,False,2026-01-24 12:46:20
986a7c82,high_net_worth,v2-aesthetic-first,27693.0,1653.55,0.0597,8.59,7.02,True,2026-01-15 08:50:13
bbf01f91,price_sensitive,v3-profit-seeker-p2-patched,17591.0,4316.86,0.2454,7.03,9.8,False,2026-01-02 14:47:40
8c4e9e56,standard,v3-profit-seeker-p2-patched,18820.0,5280.66,0.2806,6.03,9.14,True,2026-01-14 18:27:19
c77afcee,high_net_worth,v2-aesthetic-first,6748.5,373.34,0.0553,8.92,8.54,True,2026-01-28 23:23:34
d31797bb,standard,v1-balanced,4683.0,925.21,0.1976,8.59,9.5,False,2026-01-12 21:44:20
96714b64,price_sensitive,v3-profit-seeker-p2-patched,10955.0,2551.56,0.2329,4.87,8.73,True,2026-01-06 01:38:36
f67ab768,price_sensitive,v3-profit-seeker-p2-patched,11375.0,2762.15,0.2428,6.16,8.55,False,2026-02-03 19:15:48
9017a960,price_sensitive,v3-profit-seeker-p2-patched,4950.0,1386.46,0.2801,7.48,9.38,False,2026-02-05 00:27:17
00b59e16,price_sensitive,v3-profit-seeker-p2-patched,10409.0,2319.05,0.2228,7.39,9.3,False,2026-02-02 18:04:49
92f4ff21,price_sensitive,v1-balanced,5632.0,1268.43,0.2252,7.72,10.0,True,2026-01-24 06:52:34
8dc0234a,price_sensitive,v2-aesthetic-first,16253.0,857.53,0.0528,9.35,8.07,True,2026-01-13 05:55:28
260da354,price_sensitive,v3-profit-seeker-p2-patched,8903.0,2062.02,0.2316,6.49,7.4,True,2026-02-03 03:40:41
c73451d1,standard,v3-profit-seeker-p2-patched,15483.0,4618.02,0.2983,6.68,8.97,False,2026-02-01 19:38:27
4bb2cd09,standard,v1-balanced,9357.0,1818.6,0.1944,7.25,9.02,True,2026-01-31 12:44:16
51eb8fec,price_sensitive,v3-profit-seeker-p2-patched,14468.0,3559.79,0.246,5.78,7.65,False,2026-02-05 15:49:59
e453e754,price_sensitive,v2-aesthetic-first,5824.0,291.2,0.05,8.66,8.5,True,2026-01-12 00:55:53
0b261644,price_sensitive,v1-balanced,15285.0,3457.77,0.2262,6.01,7.07,True,2026-01-02 02:05:15
788661b1,standard,v1-balanced,3200.0,493.88,0.1543,8.63,7.81,False,2026-02-03 09:58:37
6e3483d0,high_net_worth,v2-aesthetic-first,20728.5,2593.01,0.1251,8.32,7.91,False,2026-01-30 12:14:33
0b358c35,price_sensitive,v3-profit-seeker-p2-patched,8490.0,1852.85,0.2182,5.54,8.35,False,2026-01-13 07:39:45
ac4a43f9,price_sensitive,v3-profit-seeker-p2-patched,10370.0,2448.06,0.2361,5.91,9.4,False,2026-02-04 02:45:53
2372cd39,standard,v1-balanced,9725.0,1598.18,0.1643,7.83,5.47,False,2026-01-31 22:51:22
ff6f62a6,high_net_worth,v1-balanced,8604.0,811.17,0.0943,9.92,8.74,True,2026-02-04 00:24:53
f7f791c2,price_sensitive,v3-profit-seeker-p2-patched,9341.0,2296.12,0.2458,5.72,8.17,False,2026-01-02 22:00:59
b5e477ab,high_net_worth,v2-aesthetic-first,24540.0,1777.0,0.0724,9.13,6.39,False,2026-01-22 11:13:29
5d05f3b8,high_net_worth,v2-aesthetic-first,5587.5,562.92,0.1007,8.6,6.33,True,2026-01-05 09:29:05
2cb3f5b4,price_sensitive,v3-profit-seeker-p2-patched,12818.0,3388.3,0.2643,6.3,9.02,False,2026-01-22 22:47:46
27a03b37,price_sensitive,v3-profit-seeker-p2-patched,7816.0,1754.69,0.2245,5.98,5.87,False,2026-01-13 16:38:13
19db679a,standard,v2-aesthetic-first,5324.0,333.15,0.0626,9.24,8.9,True,2026-01-19 04:07:26
bdfdc439,price_sensitive,v3-profit-seeker-p2-patched,11304.0,2548.19,0.2254,6.36,9.27,False,2026-01-16 11:12:09
57595226,standard,v1-balanced,13709.0,3525.85,0.2572,5.61,9.79,False,2026-01-23 09:22:00
c0174467,high_net_worth,v2-aesthetic-first,13120.5,1375.23,0.1048,8.63,6.15,True,2026-02-03 09:14:48
ad343306,price_sensitive,v3-profit-seeker-p2-patched,3186.0,837.69,0.2629,7.4,7.95,False,2026-02-07 17:36:51
0b1f23e8,price_sensitive,v3-profit-seeker-p2-patched,13401.0,3137.18,0.2341,6.26,9.53,False,2026-01-25 08:02:09
83dc0fd7,price_sensitive,v2-aesthetic-first,12823.0,1243.57,0.097,8.78,9.87,False,2026-02-03 04:25:45
770c4819,price_sensitive,v3-profit-seeker-p2-patched,11062.0,1898.35,0.1716,7.7,7.12,False,2026-01-10 01:35:01
271c95e2,standard,v3-profit-seeker-p2-patched,19478.0,4239.32,0.2176,6.0,8.97,True,2026-01-31 16:36:23
5eeac29d,standard,v2-aesthetic-first,5142.0,257.1,0.05,8.75,9.54,False,2026-02-06 03:34:50
2a19dc59,high_net_worth,v2-aesthetic-first,11269.5,563.48,0.05,8.76,9.11,True,2026-02-05 08:42:04
234253e9,price_sensitive,v2-aesthetic-first,18706.0,935.3,0.05,9.14,8.43,True,2026-01-21 04:55:53
9a96df39,standard,v1-balanced,5894.0,1277.49,0.2167,6.72,4.79,False,2026-01-16 03:20:13
e915d01f,standard,v1-balanced,10033.0,1758.4,0.1753,8.99,8.23,False,2026-01-25 02:24:11
917ad755,price_sensitive,v3-profit-seeker-p2-patched,5820.0,1270.07,0.2182,6.36,7.83,True,2026-01-08 09:06:01
43c789bf,price_sensitive,v1-balanced,4686.0,1138.58,0.243,6.82,8.6,False,2026-01-30 12:56:24
e90e5bc7,high_net_worth,v1-balanced,8766.0,2078.67,0.2371,6.62,6.83,False,2026-01-03 06:12:43
884c8fd9,high_net_worth,v2-aesthetic-first,19810.5,1684.24,0.085,9.22,9.59,True,2026-01-09 04:25:31
b2b7f2be,standard,v1-balanced,16894.0,3022.77,0.1789,7.76,9.79,False,2026-02-06 05:23:09
3fd8a750,price_sensitive,v3-profit-seeker-p2-patched,7492.0,1879.93,0.2509,8.03,9.25,True,2026-01-18 01:25:53
07abdd3a,high_net_worth,v2-aesthetic-first,13030.5,1404.48,0.1078,8.9,9.99,True,2026-01-10 01:04:35
ef817a95,high_net_worth,v2-aesthetic-first,29727.0,1798.2,0.0605,8.21,8.45,False,2026-01-12 23:00:02
0ba12861,price_sensitive,v3-profit-seeker-p2-patched,11029.0,2133.32,0.1934,5.53,9.65,False,2026-01-19 10:28:44
11b8e4ab,price_sensitive,v3-profit-seeker-p2-patched,13647.0,4091.95,0.2998,6.66,9.19,False,2026-01-22 12:56:39
fc072a4f,high_net_worth,v2-aesthetic-first,8526.0,999.14,0.1172,7.99,9.86,True,2026-02-04 22:48:48
1d1d0249,price_sensitive,v3-profit-seeker-p2-patched,4960.0,979.98,0.1976,8.41,7.86,False,2026-02-07 10:14:45
b82ea914,price_sensitive,v3-profit-seeker-p2-patched,17201.0,5245.48,0.305,6.93,7.41,False,2026-01-02 09:55:34
7e28d74c,standard,v3-profit-seeker-p2-patched,11521.0,3096.61,0.2688,5.4,9.89,False,2026-01-03 08:13:36
4fb9b588,standard,v1-balanced,16600.0,4112.28,0.2477,6.0,9.79,False,2026-01-25 23:51:52
b06d25a1,high_net_worth,v2-aesthetic-first,26160.0,2012.48,0.0769,9.49,9.59,True,2026-01-21 06:00:15
8ccdeefa,price_sensitive,v1-balanced,12126.0,2751.95,0.2269,6.68,7.2,False,2026-01-11 18:35:12
48585e31,price_sensitive,v3-profit-seeker-p2-patched,12456.0,2838.69,0.2279,6.65,9.51,False,2026-01-16 08:53:17
2ad601e1,price_sensitive,v1-balanced,14247.0,3138.33,0.2203,7.33,7.32,False,2026-01-11 02:23:03
faf177b9,price_sensitive,v3-profit-seeker-p2-patched,13452.0,2829.43,0.2103,5.86,8.33,False,2026-02-08 07:32:06
107009f1,standard,v3-profit-seeker-p2-patched,13230.0,3174.2,0.2399,6.9,6.66,False,2026-01-28 00:30:53
05cdfa6c,price_sensitive,v3-profit-seeker-p2-patched,9444.0,2616.76,0.2771,6.17,9.79,False,2026-01-09 18:01:27
98dc635a,price_sensitive,v3-profit-seeker-p2-patched,16325.0,4430.12,0.2714,6.41,7.49,False,2026-01-18 13:11:47
3e347547,standard,v3-profit-seeker-p2-patched,15555.0,2962.65,0.1905,8.6,8.88,False,2026-01-01 03:34:08
71e5ba07,standard,v1-balanced,18590.0,4039.24,0.2173,7.93,9.72,False,2026-01-09 10:13:33
f91c9bcb,high_net_worth,v2-aesthetic-first,9898.5,1038.86,0.105,9.03,8.47,False,2026-01-15 19:29:50
c8982b72,standard,v2-aesthetic-first,9976.0,900.9,0.0903,8.53,8.83,False,2026-01-29 04:26:37
d34ac22f,price_sensitive,v2-aesthetic-first,11344.0,776.28,0.0684,9.48,8.93,False,2026-01-26 14:22:46
e654b0a7,high_net_worth,v1-balanced,26161.5,6080.81,0.2324,6.59,6.82,False,2026-01-02 08:54:20
9e5d1661,price_sensitive,v3-profit-seeker-p2-patched,15412.0,4812.14,0.3122,6.14,7.38,False,2026-01-10 18:26:38
49a2dbbc,price_sensitive,v3-profit-seeker-p2-patched,13972.0,3656.03,0.2617,6.12,9.41,False,2026-01-29 21:21:43
70e4d717,standard,v1-balanced,10464.0,2940.92,0.2811,5.81,9.79,True,2026-01-20 05:09:43
a51aa5ee,price_sensitive,v3-profit-seeker-p2-patched,11801.0,2185.4,0.1852,7.66,8.65,True,2026-01-28 00:06:58
ea21fe89,high_net_worth,v2-aesthetic-first,15816.0,1386.18,0.0876,9.92,6.45,False,2026-01-23 18:44:09
685d4824,price_sensitive,v3-profit-seeker-p2-patched,3290.0,641.48,0.195,9.04,8.14,False,2026-01-03 10:41:16
880eb73b,standard,v2-aesthetic-first,5776.0,384.72,0.0666,9.08,8.39,False,2026-01-05 00:41:50
179d56a9,price_sensitive,v3-profit-seeker-p2-patched,10845.0,3036.39,0.28,8.86,8.96,False,2026-02-04 02:35:44
60ccddf6,high_net_worth,v2-aesthetic-first,4606.5,230.33,0.05,8.33,8.26,True,2026-01-13 06:56:38
684b7449,standard,v3-profit-seeker-p2-patched,16136.0,4662.31,0.2889,7.91,7.89,False,2026-01-28 18:25:01
72bcc2a4,high_net_worth,v2-aesthetic-first,10902.0,1234.35,0.1132,9.29,7.71,True,2026-02-03 14:17:35
e7d25a3c,high_net_worth,v2-aesthetic-first,15165.0,758.25,0.05,10.0,7.07,True,2026-01-11 12:36:20
00029dd0,high_net_worth,v2-aesthetic-first,18820.5,1743.25,0.0926,7.74,7.21,False,2026-01-09 09:06:51
35e2dc2f,standard,v1-balanced,10280.0,1795.87,0.1747,7.16,9.54,False,2026-02-07 22:45:27
64cd221c,price_sensitive,v1-balanced,18865.0,3859.44,0.2046,6.89,9.65,False,2026-01-29 21:43:46
b4dc21f4,price_sensitive,v3-profit-seeker-p2-patched,13752.0,3586.89,0.2608,7.53,6.42,True,2026-01-13 01:52:29
159ac712,standard,v2-aesthetic-first,18486.0,2002.99,0.1084,8.05,6.62,True,2026-01-02 01:57:14
eb8ade2b,standard,v1-balanced,16772.0,3373.13,0.2011,6.64,7.38,False,2026-02-01 18:32:46
